"trial_type","trial_index","time_elapsed","internal_node_id","participant","rt","stimulus","response","exp_name","exp_stage","test_part","subjectID","databaseID","counterbal","choice_stimuli_1","choice_stimuli_2","pattern_stimuli","rewarded_answer","correct_answer","feedback_duration_times","stim_left","stim_right","pair","leftright_counter","trial","response_correct","response_rewarded","chosen_stim","counter","displayed_choice","feedback_durations","ITI_duration","labels","rest_warning"
"pavlovia","0","453","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","3457","0.0-1.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","pre_fixation","563e35190980220011572d9a","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","4403","0.0-2.0-0.0","","943","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>","j","delaylearn","learning","trial","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","3","images/demo_images/choice_trial_2.png","images/demo_images/choice_trial_1.png","images/demo_images/pattern_1.png","j","j","3000","2","1","20","1","1","1","1","1","10","","","","",""
"html-keyboard-response","3","5408","0.0-2.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>","null","delaylearn","learning","display_response","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_1.png","","","",""
"html-keyboard-response","4","8412","0.0-2.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","5","9916","0.0-2.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","6","11994","0.0-3.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","2074","",""
"html-keyboard-response","7","12810","0.0-4.0-0.0","","811","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>","j","delaylearn","learning","trial","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","3","images/demo_images/choice_trial_2.png","images/demo_images/choice_trial_1.png","images/demo_images/pattern_1.png","j","j","3000","2","1","20","1","2","1","1","1","20","","","","",""
"html-keyboard-response","8","13814","0.0-4.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>","null","delaylearn","learning","display_response","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_1.png","","","",""
"html-keyboard-response","9","16817","0.0-4.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","10","18320","0.0-4.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","20541","0.0-5.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","2218","",""
"html-keyboard-response","12","21278","0.0-6.0-0.0","","734","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>","f","delaylearn","learning","trial","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","3","images/demo_images/choice_trial_1.png","images/demo_images/choice_trial_2.png","images/demo_images/pattern_1.png","j","f","3000","1","2","20","0","3","1","0","1","20","","","","",""
"html-keyboard-response","13","22282","0.0-6.0-1.0","","null","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>","null","delaylearn","learning","display_response","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","chosen stimuli: images/demo_images/choice_trial_1.png","","","",""
"html-keyboard-response","14","25285","0.0-6.0-2.0","","null","","null","delaylearn","learning","feedback_duration_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","3000","","",""
"html-keyboard-response","15","26788","0.0-6.0-3.0","","null","<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>","null","delaylearn","learning","feedback_image_window","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","28839","0.0-7.0","","null","<div style=""font-size:100px;"">+</div>","null","delaylearn","learning","ITI","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","","","","","","","","","","","","","","","","","","","2048","",""
"html-keyboard-response","17","29462","0.0-8.0-0.0","","619","<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px;""></div></div>","f","delaylearn","learning","trial","563e35190980220011572d9a","v4Hs0NVhXSWdWr8aLsyxpNHa9n13","3","images/demo_images/choice_trial_1.png","images/demo_images/choice_trial_2.png","images/demo_images/pattern_1.png","f","f","3000","1","2","20","0","4","1","1","1","30","","","","",""
