trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,rest_warning,prolificID,start_time,date
pavlovia,0,628,0.0-0.0,,,,,,,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,1,3645,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,2,5193,0.0-2.0-0.0,1544.5,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,10.0,,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,3,6209,0.0-2.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_1.png,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,4,9215,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,3000.0,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,5,10726,0.0-2.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,6,12661,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,,1922.0,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,7,14152,0.0-4.0-0.0,1488.5,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,2.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,2.0,0.0,0.0,2.0,10.0,,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,8,15158,0.0-4.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,chosen stimuli: images/demo_images/choice_trial_2.png,,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
html-keyboard-response,9,18169,0.0-4.0-2.0,,,,delaylearn,learning,feedback_duration_window,iaxrX2niXBaIN48aafl7apsoQkp2,iaxrX2niXBaIN48aafl7apsoQkp2,,,,,,,,,,,,,,,,,,3000.0,,,,6578943bda60b06de1ba4628,16:50:57,27/03/2024
