exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,prolificID,start_time,date
all,fullscreen,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,lmdlab-fullscreen,0,8740,0.0-0.0,,,,62ea814597e4669c86d1eb46,11:14:21,15/01/2024
delaylearn,instructions,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,lmdlab-rest-trial,1,31923,0.0-1.0,22680.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0.0,62ea814597e4669c86d1eb46,11:14:21,15/01/2024
delaylearn,survey,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,Q3VxQtHHkgebmxLsG5ZPi1pULpp2,lmdlab-html-vas-response,2,35643,0.0-2.0,2189.0,How <b>happy</b> are you right now?,0.7391975308641975,62ea814597e4669c86d1eb46,11:14:21,15/01/2024
